Fuel Type Code,Station Name,City,Street Address,State,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Access Code,Facility Type,L1 $/Hr,L1 flat,L1 $/kWh,L2 $/hr,L2 flat,L2 $/kWh,DCFC $/Hr,DCFC flat,DCFC $/kWh,,
ELEC,UM PTS PRATT,Baltimore,646 West Pratt Street,MD,21201,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,UM PTS PLAZA #1,Baltimore,500 West Redwood Street,MD,21201,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,THOMSON REUTERS EAGAN CAMPUS,Eagan,610 Opperman Dr,MN,55123,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.5,,,,,,0,1.5
ELEC,FLASTER GREENBERG PC,Cherry Hill,1810 Chapel Ave W,NJ,8002,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,5,,,,,0,5
ELEC,ACC ROUNDROCK STAT4,Round Rock,4400 College Park Dr,TX,78665,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,JBG SMITH STATION 2,Arlington,2200 Clarendon Blvd,VA,22201,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.45,,,,,,0,1.45
ELEC,JBG SMITH 2231 CRYSTAL DR,Arlington,2231 Crystal Dr,VA,22202,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.75,,,,,,0,0.75
ELEC,IBEW LOCAL 46 IBEW LOCAL 46 1,Kent,19802 62nd Ave S,WA,98032,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,VALLEY MED CTR MAIN LOT #5,Renton,400 S 43rd St,WA,98055,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,VALLEY MED CTR N GARAGE #1,Renton,4033 Talbot Rd S,WA,98055,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,MGE ALDO LEOPOLD,Madison,300 Femrite Dr,WI,53716,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,EVSP WALGREENS STORE 13012,Manassas,6400 Hoadly Rd,VA,20112,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2.64,,,,,,0,2.64
ELEC,ACCESS MAIL EVSE UNIT 01,Clearwater,14240 62nd St N,FL,33760,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC HILTON UNIT 01,Orlando,6001 Destination Pkwy,FL,32819,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC STCL CITY HALL1,Saint Cloud,1300 9th St,FL,34769,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC STCL SR CTR 1,Saint Cloud,702 Indiana Ave,FL,34769,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,EVSP WALGREENS STORE 5623,Baltimore,3801 Liberty Heights Ave,MD,21215,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2.64,,,,,,0,2.64
ELEC,EVSP WALGREENS STORE 6396,Rosedale,8606 Philadelphia Rd,MD,21237,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2.64,,,,,,0,2.64
ELEC,PW PARKING A ST GARAGE 01,Tacoma,110 S 10th St,WA,98402,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.5,,,,,,0,1.5
ELEC,PW PARKING GLASS MUSEUM 01,Tacoma,1801 Dock St,WA,98402,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.5,,,,,,0,1.5
