,ZIP,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
114,28469.0,0.1013254485,394900.0,14.54249919,1.0,0.0675,2.7750000000000004
115,28470.0,0.1013254485,65700.0,14.54249919,1.0,0.0675,2.7750000000000004
116,28645.0,0.1007537838,25800.0,8.092135751,4.0,0.07,2.55
117,28694.0,0.0951095625,26200.0,22.19496383,2.0,0.07,5.0
118,29464.0,0.114586897,698900.0,6.891165855,3.0,0.09,9.0
119,29607.0,0.107989879,154700.0,30.68422426,7.0,0.07,4.5
120,29651.0,0.111496596,57500.0,30.68422426,19.0,0.07,8.67
121,30004.0,0.10065007766666667,157500.0,16.85175787,9.0,0.0775,4.5
122,30005.0,0.10166752500000001,245300.0,16.85175787,5.0,0.0775,6.0
123,30009.0,0.10166752500000001,226700.0,16.85175787,21.0,0.0775,3.75
124,30043.0,0.10414244533333333,87700.0,16.85175787,16.0,0.06,5.625
125,30060.0,0.10268846933333332,164500.0,44.12077763,6.0,0.06,2.55
126,30062.0,0.10268846933333332,219700.0,16.85175787,2.0,0.06,7.5
127,30084.0,0.105424564,131900.0,16.85175787,2.0,0.08,3.0
128,30092.0,0.10166752500000001,187900.0,16.85175787,4.0,0.0775,9.0
129,30103.0,0.097869238,21900.0,44.12077763,2.0,0.07,7.5
130,30114.0,0.10726785500000001,92300.0,44.12077763,5.0,0.06,3.0
131,30115.0,0.10717594275,73700.0,16.85175787,1.0,0.06,3.0
132,30214.0,0.10687335,34300.0,17.41202737,14.0,0.07,4.5
133,30308.0,0.096434844,1619600.0,16.85175787,47.0,0.085,14.0
134,30318.0,0.096434844,306700.0,16.85175787,25.0,0.085,2.9
135,30324.0,0.096434844,687900.0,16.85175787,5.0,0.085,3.0
136,30326.0,0.096434844,1558900.0,16.85175787,25.0,0.085,3.0
137,30338.0,0.096434844,359500.0,16.85175787,4.0,0.08,3.0
138,30339.0,0.096434844,728300.0,16.85175787,39.0,0.085,2.6999999999999997
139,30345.0,0.096434844,318800.0,16.85175787,6.0,0.08,2.55
140,30354.0,0.099352499,80300.0,16.85175787,56.0,0.085,2.25
141,30439.0,0.11153717075000001,16300.0,10.48414499,2.0,0.08,3.0
142,30501.0,0.105424564,88400.0,16.85175787,2.0,0.07,3.0
143,30517.0,0.114414284,79800.0,16.85175787,6.0,0.07,6.0
144,30525.0,0.14165239725,57300.0,18.74100907,2.0,0.08,3.0
145,30548.0,0.105424564,99500.0,16.85175787,2.0,0.07,6.0
146,31408.0,0.096434844,47400.0,14.80660815,2.0,0.07,3.0
147,32751.0,0.0905584675,327300.0,1.539400712,1.0,0.07,3.96
