Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Average
10.5,0.083149759,132300,1.848842493,5,0.087,7.462823413
7.35,0.098327088,144600,1.259297861,2,0.09,7.462823413
2,0.100691729,70600,34.08250314,9,0.06,7.462823413
11.22,0.07318157,408400,132.9584854,7,0.06,7.462823413
12.16,0.10262325,1447600,1.091698699,17,0.103,7.462823413
9,0.105507761,147600,1.336549197,1,0.07375,7.462823413
5.6,0.170640488,2794100,98.41591895,19,0.2275,7.462823413
10,0.122014152,134000,32.93921337,3,0.0635,7.462823413
3,0.10797688,66200,44.12077763,6,0.0775,7.462823413
11.22,0.078075212,1045600,114.3900277,11,0.06,7.462823413
10.8,0.348054661,292800,0.283095138,1,0.04,7.462823413
11.22,0.075050344,134300,13.36999514,15,0.06,7.462823413
2.5,0.114409822,5152300,98.41591895,10,0.2025,7.462823413
2.5,0.114409822,5406300,98.41591895,233,0.2025,7.462823413
2.5,0.114409822,9716400,98.41591895,14,0.2025,7.462823413
2.5,0.114409822,9716400,98.41591895,14,0.2025,7.462823413
10.8,0.097173014,1088100,44.98349289,46,0.07,7.462823413
9.24,0.107717864,184500,4.148823134,5,0.3552,7.462823413
10.2,0.348754669,70800,3.972616372,1,0.045,7.462823413
7.5,0.096434844,875700,16.85175787,10,0.085,7.462823413
7.5,0.075319455,60500,11.00555881,6,0.06,7.462823413
1,0.108499699,232900,26.1408422,19,0.075,7.462823413
3,0.083487636,1030300,142.8517489,3,0.06625,7.462823413
3,0.112406,256200,38.99804321,3,0.0825,7.462823413
7.5,0.096434844,127800,14.80660815,8,0.07,7.462823413
4.5,0.140766551,74900,7.200530443,16,0.0725,7.462823413
16.4,0.085140647,64700,50.9612937,3,0.0825,7.462823413
2.5,0.111040477,371900,33.16743954,7,0.055,7.462823413
8.6,0.081112542,217600,0.215510534,12,0.0885,7.462823413
8.6,0.089794183,117600,50.9612937,4,0.0825,7.462823413
4,0.083487636,225200,357.4244502,1,0.06625,7.462823413
7.35,0.086720603,299600,1.259297861,15,0.09,7.462823413
3.1,0.110302711,181500,10.00307852,1,0.0825,7.462823413
10,0.11685727,774300,0.309507108,8,0.2125,7.462823413
5,0.076730792,41400,30.71512976,6,0.0685,7.462823413
5,0.086698698,76800,38.99804321,3,0.0825,7.462823413
3.5,0.120236532,69100,2.237208952,1,0.365,7.462823413
8.6,0.085922147,241000,50.9612937,3,0.0825,7.462823413
5,0.111335941,833700,0.196316401,14,0.354,7.462823413
7.35,0.070976874,79500,8.394904991,1,0,7.462823413
7.35,0.0596781,85000,8.394904991,3,0,7.462823413
8.6,0.108606471,60100,13.64114657,5,0.08,7.462823413
10.8,0.268402289,1386000,15.33205443,1,0.045,7.462823413
3.18,0.106844523,150500,11.99824386,7,0.07,7.462823413
1.32,0.092761551,189000,20.54204472,14,0.055,7.462823413
1.32,0.092761551,189000,20.54204472,14,0.055,7.462823413
1.8,0.073055022,218900,0.208368357,7,0.06,7.462823413
10.24,0.114409822,5152300,98.41591895,10,0.2025,7.462823413
6,0.116861707,84800,25.78053272,1,0.055,7.462823413
2.88,0.081570418,286200,16.54254265,4,0.065,7.462823413
3,0.099541232,135700,53.79401355,3,0.07,7.462823413
1.56,0.081570418,319700,69.76013412,12,0.07,7.462823413
3,0.088901474,96200,64.998739,17,0.07,7.462823413
1.62,0.105092691,416800,5.557113287,36,0.35,7.462823413
10,0.106695173,120700,38.06365634,7,0.06625,7.462823413
7.24,0.094610158,51800,39.08764145,8,0.096,7.462823413
1.56,0.101637511,163800,39.08764145,16,0.11475,7.462823413
4.5,0.083487636,701600,142.8517489,3,0.06625,7.462823413
1.44,0.09304833,59000,4.59065979,6,0.08625,7.462823413
4.42,0.088730361,646900,1.091698699,13,0.106,7.462823413
3,0.074130052,327100,6.710881471,3,0.103,7.462823413
3,0.042154176,458400,1.277268781,5,0.06,7.462823413
6.8,0.115690603,317800,20.54204472,6,0,7.462823413
3.6,0.078740283,510200,142.8517489,3,0.06625,7.462823413
3,0.059955403,81700,56.5797172,6,0.06,7.462823413
6,0.101398098,93600,99.86686205,4,0.0675,7.462823413
2.76,0.099022919,260300,0.966105849,9,0.359,7.462823413
5.2,0.064682123,270200,357.4244502,5,0.06,7.462823413
3.6,0.109035108,294000,20.54204472,1,0.0625,7.462823413
1.44,0.102169396,229900,43.53979947,3,0.06,7.462823413
3,0.06438629,203600,38.99804321,1,0.0825,7.462823413
7.5,0.092045391,464700,20.54204472,18,0.0625,7.462823413
1,0.078740283,658300,510.9996427,1,0.06625,7.462823413
4.92,0.123625343,1231000,142.8517489,2,0.28625,7.462823413
3.92,0.093517028,83800,28.10345702,3,0.07,7.462823413
3.92,0.064530995,1093500,1.091698699,47,0.102,7.462823413
6,0.09000984,96200,12.29286041,10,0.0725,7.462823413
2.4,0.116861707,115200,25.78053272,4,0.055,7.462823413
7.8,0.085140647,64700,50.9612937,3,0.0825,7.462823413
6,0.116925228,292300,99.86686205,8,0.08,7.462823413
5.28,0.063331162,531400,75.3360558,3,0,7.462823413
6,0.103020995,35200,16.85175787,2,0.08,7.462823413
5.25,0.116861707,165300,25.78053272,3,0.055,7.462823413
6.24,0.119523624,27700,7.475330177,3,0.0765,7.462823413
4.04,0.100447491,40400,1.727022671,4,0.095,7.462823413
4.08,0.099285431,179700,39.08764145,5,0.103,7.462823413
5,0.068755064,87400,114.3900277,1,0.06,7.462823413
2.5,0.113598355,963000,33.16743954,23,0.055,7.462823413
10.24,0.075319455,192400,11.00555881,3,0.06,7.462823413
3,0.068823414,160100,30.88338578,6,0.06,7.462823413
7.5,0.094150941,58000,26.1408422,5,0.0725,7.462823413
5,0.095695794,135300,11.14245132,2,0.092,7.462823413
3,0.123122993,249400,4.015540163,4,0.06,7.462823413
5.4,0.145736987,555700,8.439481531,9,0.2125,7.462823413
5.4,0.145736987,555700,8.439481531,9,0.2125,7.462823413
3.18,0.0583782,136300,45.22710651,10,0.06,7.462823413
4,0.095676805,736700,1.091698699,5,0.106,7.462823413
10.8,0.106412293,499200,7.126197882,3,0.07,7.462823413
2,0.084777407,94800,69.16602715,15,0.075,7.462823413
4.5,0.108499699,181900,26.1408422,7,0.075,7.462823413
6,0.065384084,452600,73.70362386,14,0.1025,7.462823413
3,0.079443813,61200,34.43109106,5,0.07,7.462823413
4.5,0.063331162,661400,75.3360558,18,0,7.462823413
9.5,0.118173721,55100,5.678995619,2,0.07875,7.462823413
6,0.090959334,44000,99.86686205,8,0.07,7.462823413
3,0.097851157,95600,17.90019279,1,0.105,7.462823413
4,0.049467423,238400,3.497607948,17,0.08375,7.462823413
3,0.078740283,142100,45.22710651,1,0.06625,7.462823413
10.6,0.065811576,362600,25.64702038,2,0.08517,7.462823413
6.24,0.105494482,349600,5.557113287,6,0.35,7.462823413
8.76,0.10262325,3813800,1.091698699,7,0.1025,7.462823413
3.56,0.099560776,258200,5.557113287,20,0.355,7.462823413
2,0.131682056,108400,2.237208952,3,0.365,7.462823413
1.2,0.049467423,194000,3.497607948,11,0.08375,7.462823413
3,0.085926881,76300,69.16602715,3,0.07,7.462823413
9.99,0.098416035,283400,2.09216958,6,0.092,7.462823413
10.24,0.114409822,7585800,98.41591895,56,0.2025,7.462823413
2.88,0.081570418,71600,15.66438974,1,0.07,7.462823413
10.24,0.114409822,7585800,98.41591895,56,0.2025,7.462823413
4,0.116861707,74100,25.78053272,3,0.055,7.462823413
1,0.078740283,503100,510.9996427,1,0.06625,7.462823413
6,0.065384084,299900,73.70362386,2,0.1,7.462823413
11.8,0.180508316,415600,22.27587347,8,0.2025,7.462823413
4.56,0.099770583,127300,39.08764145,37,0.0985,7.462823413
4.32,0.064682123,172100,131.6739115,2,0.06,7.462823413
1.2,0.064530995,718800,6.710881471,28,0.101,7.462823413
2,0.183785529,8437500,125.2839303,15,0.22375,7.462823413
6,0.089768974,304900,73.70362386,4,0.08,7.462823413
1,0.195263421,3371500,9.566533921,17,0.2025,7.462823413
1.5,0.079560163,121200,41.82299639,7,0.06,7.462823413
7.5,0.068823414,211900,155.9473625,9,0.06,7.462823413
1.82,0.090558468,108500,1.539400712,8,0.065,7.462823413
6.76,0.113314199,380200,0.684724588,1,0.0675,7.462823413
10.5,0.092761551,41300,0.62567528,5,0.055,7.462823413
6,0.065384084,336800,73.70362386,3,0.09,7.462823413
6,0.065384084,6151200,73.70362386,6,0.1025,7.462823413
6,0.110844359,935600,38.97930673,8,0.0625,7.462823413
8.5,0.096149371,288900,3.092610026,4,0.08375,7.462823413
3,0.063331162,1065500,75.3360558,1,0,7.462823413
3.18,0.117953072,93700,15.76514957,5,0.07,7.462823413
5.4,0.067140518,60400,0.327403112,9,0,7.462823413
9.9,0.140257487,852400,26.1408422,53,0.075,7.462823413
9.9,0.140257487,852400,26.1408422,53,0.075,7.462823413
9.9,0.140257487,852400,26.1408422,53,0.075,7.462823413
9.76,0.08664797,365200,47.8543645,65,0.0725,7.462823413
13.95,0.104944077,752500,9.403317264,1,0.08025,7.462823413
10.6,0.065811576,151700,25.64702038,6,0.08517,7.462823413
4.5,0.114409822,2047800,98.41591895,4,0.2125,7.462823413
9.8,0.106665508,304600,2.09216958,4,0.086,7.462823413
3,0.103584284,112500,6.954721987,3,0.055,7.462823413
3,0.0583782,175600,41.82299639,3,0.06,7.462823413
6.24,0.094156392,47000,3.761082855,3,0.10475,7.462823413
7.5,0.096434844,687900,16.85175787,10,0.085,7.462823413
6,0.130117423,139700,17.01596331,2,0.2025,7.462823413
7.3,0.099228105,57800,5.398983559,3,0.07,7.462823413
4,0.092869337,49600,3.164692997,1,0.07,7.462823413
3,0.112583118,70200,15.76514957,1,0.07,7.462823413
6.24,0.141885665,337200,3.366540988,3,0.2025,7.462823413
9.8,0.268402289,2442000,29.36939049,40,0.045,7.462823413
8.5,0.07498251,99500,7.21888738,1,0.07,7.462823413
5.8,0.188032807,5643600,98.41591895,67,0.2275,7.462823413
11.76,0.114409822,6151300,98.41591895,7,0.2125,7.462823413
8.76,0.077228413,1351100,1.091698699,7,0.1025,7.462823413
7.5,0.096434844,875700,16.85175787,10,0.085,7.462823413
3,0.123376469,283800,26.1408422,6,0.075,7.462823413
10.5,0.092761551,189000,20.54204472,14,0.055,7.462823413
9.76,0.049467423,491300,3.497607948,16,0.08375,7.462823413
3,0.140257487,701700,26.1408422,21,0.075,7.462823413
6.4,0.07318157,406300,114.3900277,4,0.06,7.462823413
9.76,0.049467423,491300,3.497607948,16,0.08375,7.462823413
6,0.122002471,76200,26.1408422,4,0.0725,7.462823413
9.5,0.083117789,86600,23.87980923,9,0.0675,7.462823413
10.6,0.091739953,174000,38.38834236,11,0.09,7.462823413
10.5,0.069975556,200200,1.848842493,7,0.087,7.462823413
10.5,0.040290399,97300,0.366847797,5,0.084,7.462823413
3,0.100085576,111400,5.331824489,8,0.0725,7.462823413
12.38,0.175577736,88300,0.323504697,2,0.1975,7.462823413
1.44,0.071723954,324300,114.3900277,8,0.06,7.462823413
3,0.123376469,283800,26.1408422,6,0.075,7.462823413
3,0.11825751,161500,38.99804321,10,0.0825,7.462823413
6,0.106937414,67800,24.60266009,6,0.0725,7.462823413
8.6,0.093774721,57700,5.221776845,6,0.0825,7.462823413
6,0.138950817,2750600,98.41591895,9,0.2275,7.462823413
6,0.188032807,5643600,98.41591895,67,0.2275,7.462823413
4.36,0.119523624,165100,39.08764145,3,0.103,7.462823413
4,0.114409822,1805800,98.41591895,1,0.2275,7.462823413
6.99,0.145736987,471600,3.606238302,8,0.2125,7.462823413
6.6,0.10262325,2751700,1.091698699,6,0.1025,7.462823413
11.36,0.07318157,483700,114.3900277,6,0.06,7.462823413
8,0.114409822,263300,0.725604855,3,0.21,7.462823413
4,0.123625343,590100,55.96880535,2,0.28625,7.462823413
6.9,0.065811576,56500,25.64702038,4,0.09667,7.462823413
6.9,0.091739953,28600,4.922478903,3,0.1,7.462823413
6.9,0.091739953,28600,4.922478903,3,0.1,7.462823413
7,0.091739953,28600,4.922478903,3,0.1,7.462823413
2.5,0.042154176,1537700,114.3900277,3,0.06,7.462823413
10.5,0.180508316,446300,22.27587347,17,0.2075,7.462823413
6,0.188032807,5643600,98.41591895,67,0.2275,7.462823413
6.24,0.064730195,91300,10.07980997,22,0.28,7.462823413
6.76,0.090454641,39500,28.10345702,4,0.07,7.462823413
6.4,0.07318157,194800,131.6739115,6,0.06,7.462823413
3.18,0.099568075,55600,15.66438974,10,0.075,7.462823413
6.6,0.064530995,214500,152.6304148,5,0.095,7.462823413
10,0.149519736,506100,3.366540988,42,0.2125,7.462823413
3,0.140257487,123400,26.1408422,10,0.075,7.462823413
15,0.084616196,105800,0.155635492,1,0.07725,7.462823413
10.5,0.180508316,1279200,22.27587347,27,0.2075,7.462823413
3.18,0.106894517,129200,69.16602715,3,0.07,7.462823413
6.3,0.093376646,1509600,50.9612937,33,0.0825,7.462823413
3,0.195263421,1902200,82.13388047,34,0.2325,7.462823413
6,0.114409822,256200,98.41591895,6,0.2275,7.462823413
6,0.175817127,5808100,98.41591895,14,0.22,7.462823413
6,0.188032807,6424400,98.41591895,46,0.2275,7.462823413
6,0.188032807,4928200,98.41591895,23,0.2275,7.462823413
8,0.177718716,497600,8.439481531,1,0.2075,7.462823413
14,0.106185205,109400,1.093400191,1,0.07625,7.462823413
11.8,0.075847507,346600,8.394904991,8,0.085,7.462823413
5,0.125722524,354000,98.41591895,3,0.2125,7.462823413
7.5,0.096434844,144600,14.80660815,1,0.08,7.462823413
5.4,0.068011087,143400,6.582176041,4,0,7.462823413
5.4,0.068011087,143400,6.582176041,4,0,7.462823413
6,0.078075212,647200,114.3900277,4,0.06,7.462823413
3,0.078593222,93900,26.1408422,3,0.075,7.462823413
3.18,0.07318157,316100,131.6739115,8,0.06,7.462823413
10.5,0.078083032,85300,7.80561221,2,0.087,7.462823413
10.5,0.040290399,97300,0.366847797,5,0.084,7.462823413
6.24,0.089277329,147200,5.673684388,10,0.08625,7.462823413
3,0.129525775,150600,0.179350852,9,0.065,7.462823413
10.6,0.110460831,65700,4.860868788,2,0.091,7.462823413
10.6,0.098696717,52600,0.841617803,3,0.094,7.462823413
10.6,0.110460831,65700,4.860868788,2,0.091,7.462823413
10.6,0.094541936,37500,12.68760248,3,0.0915,7.462823413
10.6,0.084693063,29500,7.01822245,2,0.10083,7.462823413
10.6,0.090597663,63100,25.64702038,1,0.098,7.462823413
10.6,0.094541936,37500,12.68760248,3,0.0915,7.462823413
10.6,0.071762476,80000,4.922478903,4,0.095,7.462823413
10.6,0.091739953,147600,38.38834236,4,0.0875,7.462823413
10.6,0.071762476,197100,4.860868788,3,0.09,7.462823413
10.6,0.071762476,89000,38.38834236,3,0.0875,7.462823413
10.6,0.091739953,147600,38.38834236,4,0.0875,7.462823413
10.6,0.097599236,104000,5.673684388,7,0.085,7.462823413
10.6,0.091739953,174000,38.38834236,11,0.09,7.462823413
10.6,0.093656317,98300,4.860868788,8,0.0985,7.462823413
10.6,0.071762476,197100,4.860868788,3,0.09,7.462823413
10.6,0.071762476,90700,4.860868788,2,0.08625,7.462823413
10.6,0.080181178,22900,38.38834236,1,0.09,7.462823413
10.6,0.100503536,25900,4.922478903,1,0.1,7.462823413
10.6,0.082099384,35000,4.922478903,3,0.09995,7.462823413
10.6,0.125587212,48500,0.714557523,1,0.0995,7.462823413
10.6,0.084693063,29500,7.01822245,2,0.10083,7.462823413
3.5,0.109909298,453400,3.817319319,13,0.354,7.462823413
10.6,0.100984316,23800,12.68760248,3,0.095,7.462823413
10.6,0.096004421,32200,1.716565656,7,0.09375,7.462823413
10.6,0.071762476,170300,4.922478903,4,0.0875,7.462823413
10.6,0.08850794,27600,25.64702038,1,0.0925,7.462823413
10.6,0.091739953,174000,38.38834236,11,0.09,7.462823413
10.6,0.101957545,37600,25.64702038,1,0.10333,7.462823413
10.6,0.08850794,25900,25.64702038,1,0.0925,7.462823413
10.6,0.096004421,32200,1.716565656,7,0.09375,7.462823413
10.6,0.088764503,33100,38.38834236,2,0.09,7.462823413
10.6,0.094725258,46200,2.141898148,2,0.0925,7.462823413
10.6,0.104988144,16100,2.497932077,2,0.095,7.462823413
10.6,0.071762476,68500,4.922478903,2,0.091,7.462823413
10.6,0.071762476,80000,4.922478903,4,0.095,7.462823413
10.6,0.071762476,108200,4.922478903,3,0.0875,7.462823413
10.6,0.071762476,71900,38.38834236,3,0.08975,7.462823413
10.6,0.091739953,147600,38.38834236,4,0.0875,7.462823413
10.6,0.071762476,170300,4.922478903,4,0.0875,7.462823413
10.6,0.096004421,32200,1.716565656,7,0.09375,7.462823413
10.6,0.092558303,193000,25.64702038,2,0.08517,7.462823413
10.6,0.100984316,23800,12.68760248,3,0.095,7.462823413
10.6,0.094725258,46200,2.141898148,2,0.0925,7.462823413
10.6,0.071762476,108200,4.922478903,3,0.0875,7.462823413
10.6,0.081113527,31300,38.38834236,1,0.1,7.462823413
10.6,0.098696717,52600,0.841617803,3,0.094,7.462823413
10.6,0.091293785,25400,8.843340996,1,0.1,7.462823413
10.6,0.093180544,17400,8.843340996,1,0.09917,7.462823413
10.6,0.093292251,76700,5.673684388,3,0.09313,7.462823413
10.6,0.093292251,82600,5.673684388,4,0.09313,7.462823413
10.6,0.093292251,76700,5.673684388,3,0.09313,7.462823413
10.6,0.092687385,101900,25.64702038,3,0.10383,7.462823413
10.6,0.092687385,101900,25.64702038,3,0.10383,7.462823413
10.6,0.094938214,21900,5.673684388,2,0.095,7.462823413
10.6,0.093656317,51000,4.860868788,1,0.0985,7.462823413
10.6,0.09455352,27000,25.64702038,2,0.10667,7.462823413
