,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax
100,3.0,0.080824949,634200.0,73.70362386,2.0,0.0775
101,7.92,0.047846374,305600.0,21.08842976,20.0,0.08265
102,3.2,0.19526342149999998,2693600.0,82.13388047,54.0,0.2325
103,9.95,0.1220141515,1291100.0,84.69351463,4.0,0.0635
104,4.5,0.063331162,1544950.0,8.394904991,4.0,0.0
105,6.0,0.08111395925,869300.0,142.8517489,1.0,0.06625
106,4.0,0.07318157,489700.0,114.3900277,5.0,0.06
107,3.7128,0.156403409,719400.0,6.073066365,19.0,0.07
108,5.8,0.10967861749999999,122600.0,25.78053272,1.0,0.055
109,3.0,0.096434844,449950.0,16.85175787,36.0,0.085
110,6.0,0.093376646,284200.0,50.9612937,7.0,0.0825
111,1.6500000000000001,0.11569060349999999,90400.0,20.54204472,2.0,0.0
112,2.4,0.097173014,395100.0,15.66438974,11.0,0.065
113,3.0,0.0421541755,940100.0,114.3900277,21.0,0.06
114,4.5,0.10463444933333332,163700.0,33.16743954,1.0,0.055
115,7.5,0.11432460520000001,223900.0,20.54204472,4.0,0.0625
116,4.5,0.09596084,59400.0,5.374067528,2.0,0.095
117,4.5,0.10262325,4583300.0,1.091698699,52.0,0.1025
118,1.5,0.06538408400000001,549500.0,73.70362386,5.0,0.1
119,6.0,0.077228413,2608600.0,1.091698699,85.0,0.102
120,3.0,0.06538408400000001,164500.0,73.70362386,4.0,0.085
121,3.0,0.07690351,324600.0,12.29286041,21.0,0.075
122,3.0,0.07690351,324600.0,12.29286041,21.0,0.075
123,3.0,0.07690351,324600.0,12.29286041,21.0,0.075
124,2.25,0.10902480149999999,214900.0,12.29286041,7.0,0.075
125,6.0,0.10262325,3688600.0,1.091698699,10.0,0.1025
126,2.25,0.10902480149999999,214900.0,12.29286041,7.0,0.075
127,6.0,0.10262325,3688600.0,1.091698699,10.0,0.1025
128,4.5600000000000005,0.18378552866666667,8437500.0,125.2839303,7.0,0.22375
129,3.0,0.06538408400000001,1109200.0,73.70362386,1.0,0.1025
130,5.2,0.07318157,837950.0,132.9584854,6.0,0.06
131,6.0,0.113598355,963000.0,33.16743954,18.0,0.055
132,6.0,0.1110404765,371900.0,33.16743954,5.0,0.055
133,9.0,0.063331162,1150900.0,8.394904991,4.0,0.0
134,20.0,0.10262325,1504100.0,1.091698699,11.0,0.1025
135,7.5,0.083487636,420700.0,357.4244502,2.0,0.06625
136,5.9399999999999995,0.106665508,443400.0,2.09216958,12.0,0.086
137,4.0,0.06538408400000001,6692250.0,73.70362386,25.0,0.1025
138,1.5,0.088730361,839200.0,1.091698699,1.0,0.106
139,1.9500000000000002,0.081112542,900000.0,11.10630294,28.0,0.0775
140,1.6500000000000001,0.088548971,17153600.0,114.3900277,11.0,0.06
141,1.6500000000000001,0.088548971,17153600.0,114.3900277,11.0,0.06
142,6.0,0.113598355,244600.0,33.16743954,5.0,0.055
143,6.0,0.113598355,244600.0,33.16743954,5.0,0.055
144,4.0,0.0787402825,161700.0,45.22710651,2.0,0.06625
145,4.5,0.106665508,361100.0,2.09216958,6.0,0.086
146,5.97,0.08513239650000001,312900.0,56.58734534,5.0,0.083
147,3.9749999999999996,0.11084435879999999,375200.0,20.54204472,18.0,0.0625
148,3.96,0.06538408400000001,6692250.0,73.70362386,25.0,0.1025
149,3.0,0.200172186,58200.0,2.624637777,4.0,0.06
150,6.0,0.093376646,1839600.0,50.9612937,21.0,0.0825
151,10.0,0.07807521249999999,727900.0,114.3900277,3.0,0.06
152,2.0,0.100955744,34500.0,0.480526675,2.0,0.07
153,2.0,0.08876189899999999,117400.0,19.61490511,3.0,0.07
154,2.6,0.07807521249999999,3156600.0,114.3900277,3.0,0.06
155,1.9500000000000002,0.081112542,900000.0,11.10630294,28.0,0.0775
156,2.0,0.08876189899999999,117400.0,19.61490511,3.0,0.07
157,3.96,0.060419655999999995,397450.0,75.3360558,3.0,0.0
158,7.5,0.077228413,2608600.0,1.091698699,85.0,0.102
159,3.0,0.063331162,468300.0,75.3360558,1.0,0.0
160,4.5,0.10166752500000001,226700.0,16.85175787,21.0,0.0775
